------------------------------------------------------------
Loading the dataset...
------------------------------------------------------------
SVM
0.686,kernel=poly,C=32.0,gamma=2.0,degree=4,SVM
0.859,kernel=poly,C=32.0,gamma=8.0,degree=1,SVM
0.814,kernel=poly,C=32.0,gamma=8.0,degree=2,SVM
0.755,kernel=poly,C=32.0,gamma=8.0,degree=3,SVM
0.686,kernel=poly,C=32.0,gamma=8.0,degree=4,SVM
0.862,kernel=poly,C=128.0,gamma=3.0517578125e-05,degree=1,SVM
0.651,kernel=poly,C=128.0,gamma=3.0517578125e-05,degree=2,SVM
0.531,kernel=poly,C=128.0,gamma=3.0517578125e-05,degree=3,SVM
0.453,kernel=poly,C=128.0,gamma=3.0517578125e-05,degree=4,SVM
0.860,kernel=poly,C=128.0,gamma=0.0001220703125,degree=1,SVM
0.736,kernel=poly,C=128.0,gamma=0.0001220703125,degree=2,SVM
0.599,kernel=poly,C=128.0,gamma=0.0001220703125,degree=3,SVM
0.544,kernel=poly,C=128.0,gamma=0.0001220703125,degree=4,SVM
0.859,kernel=poly,C=128.0,gamma=0.00048828125,degree=1,SVM
0.793,kernel=poly,C=128.0,gamma=0.00048828125,degree=2,SVM
0.671,kernel=poly,C=128.0,gamma=0.00048828125,degree=3,SVM
0.587,kernel=poly,C=128.0,gamma=0.00048828125,degree=4,SVM
0.859,kernel=poly,C=128.0,gamma=0.001953125,degree=1,SVM
0.813,kernel=poly,C=128.0,gamma=0.001953125,degree=2,SVM
0.733,kernel=poly,C=128.0,gamma=0.001953125,degree=3,SVM
0.647,kernel=poly,C=128.0,gamma=0.001953125,degree=4,SVM
0.859,kernel=poly,C=128.0,gamma=0.0078125,degree=1,SVM
0.814,kernel=poly,C=128.0,gamma=0.0078125,degree=2,SVM
0.755,kernel=poly,C=128.0,gamma=0.0078125,degree=3,SVM
0.687,kernel=poly,C=128.0,gamma=0.0078125,degree=4,SVM
0.859,kernel=poly,C=128.0,gamma=0.03125,degree=1,SVM
0.814,kernel=poly,C=128.0,gamma=0.03125,degree=2,SVM
0.755,kernel=poly,C=128.0,gamma=0.03125,degree=3,SVM
0.686,kernel=poly,C=128.0,gamma=0.03125,degree=4,SVM
0.859,kernel=poly,C=128.0,gamma=0.125,degree=1,SVM
0.814,kernel=poly,C=128.0,gamma=0.125,degree=2,SVM
0.755,kernel=poly,C=128.0,gamma=0.125,degree=3,SVM
0.686,kernel=poly,C=128.0,gamma=0.125,degree=4,SVM
0.859,kernel=poly,C=128.0,gamma=0.5,degree=1,SVM
0.814,kernel=poly,C=128.0,gamma=0.5,degree=2,SVM
0.755,kernel=poly,C=128.0,gamma=0.5,degree=3,SVM
0.686,kernel=poly,C=128.0,gamma=0.5,degree=4,SVM
0.859,kernel=poly,C=128.0,gamma=2.0,degree=1,SVM
0.814,kernel=poly,C=128.0,gamma=2.0,degree=2,SVM
0.755,kernel=poly,C=128.0,gamma=2.0,degree=3,SVM
0.686,kernel=poly,C=128.0,gamma=2.0,degree=4,SVM
0.859,kernel=poly,C=128.0,gamma=8.0,degree=1,SVM
0.814,kernel=poly,C=128.0,gamma=8.0,degree=2,SVM
0.755,kernel=poly,C=128.0,gamma=8.0,degree=3,SVM
0.686,kernel=poly,C=128.0,gamma=8.0,degree=4,SVM
0.860,kernel=poly,C=512.0,gamma=3.0517578125e-05,degree=1,SVM
0.705,kernel=poly,C=512.0,gamma=3.0517578125e-05,degree=2,SVM
0.561,kernel=poly,C=512.0,gamma=3.0517578125e-05,degree=3,SVM
0.477,kernel=poly,C=512.0,gamma=3.0517578125e-05,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=0.0001220703125,degree=1,SVM
0.772,kernel=poly,C=512.0,gamma=0.0001220703125,degree=2,SVM
0.629,kernel=poly,C=512.0,gamma=0.0001220703125,degree=3,SVM
0.549,kernel=poly,C=512.0,gamma=0.0001220703125,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=0.00048828125,degree=1,SVM
0.805,kernel=poly,C=512.0,gamma=0.00048828125,degree=2,SVM
0.697,kernel=poly,C=512.0,gamma=0.00048828125,degree=3,SVM
0.607,kernel=poly,C=512.0,gamma=0.00048828125,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=0.001953125,degree=1,SVM
0.814,kernel=poly,C=512.0,gamma=0.001953125,degree=2,SVM
0.747,kernel=poly,C=512.0,gamma=0.001953125,degree=3,SVM
0.667,kernel=poly,C=512.0,gamma=0.001953125,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=0.0078125,degree=1,SVM
0.814,kernel=poly,C=512.0,gamma=0.0078125,degree=2,SVM
0.755,kernel=poly,C=512.0,gamma=0.0078125,degree=3,SVM
0.686,kernel=poly,C=512.0,gamma=0.0078125,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=0.03125,degree=1,SVM
0.814,kernel=poly,C=512.0,gamma=0.03125,degree=2,SVM
0.755,kernel=poly,C=512.0,gamma=0.03125,degree=3,SVM
0.686,kernel=poly,C=512.0,gamma=0.03125,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=0.125,degree=1,SVM
0.814,kernel=poly,C=512.0,gamma=0.125,degree=2,SVM
0.755,kernel=poly,C=512.0,gamma=0.125,degree=3,SVM
0.686,kernel=poly,C=512.0,gamma=0.125,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=0.5,degree=1,SVM
0.814,kernel=poly,C=512.0,gamma=0.5,degree=2,SVM
0.755,kernel=poly,C=512.0,gamma=0.5,degree=3,SVM
0.686,kernel=poly,C=512.0,gamma=0.5,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=2.0,degree=1,SVM
0.814,kernel=poly,C=512.0,gamma=2.0,degree=2,SVM
0.755,kernel=poly,C=512.0,gamma=2.0,degree=3,SVM
0.686,kernel=poly,C=512.0,gamma=2.0,degree=4,SVM
0.859,kernel=poly,C=512.0,gamma=8.0,degree=1,SVM
0.814,kernel=poly,C=512.0,gamma=8.0,degree=2,SVM
0.755,kernel=poly,C=512.0,gamma=8.0,degree=3,SVM
0.686,kernel=poly,C=512.0,gamma=8.0,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=3.0517578125e-05,degree=1,SVM
0.736,kernel=poly,C=2048.0,gamma=3.0517578125e-05,degree=2,SVM
0.583,kernel=poly,C=2048.0,gamma=3.0517578125e-05,degree=3,SVM
0.507,kernel=poly,C=2048.0,gamma=3.0517578125e-05,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=0.0001220703125,degree=1,SVM
0.793,kernel=poly,C=2048.0,gamma=0.0001220703125,degree=2,SVM
0.650,kernel=poly,C=2048.0,gamma=0.0001220703125,degree=3,SVM
0.556,kernel=poly,C=2048.0,gamma=0.0001220703125,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=0.00048828125,degree=1,SVM
0.813,kernel=poly,C=2048.0,gamma=0.00048828125,degree=2,SVM
0.717,kernel=poly,C=2048.0,gamma=0.00048828125,degree=3,SVM
0.618,kernel=poly,C=2048.0,gamma=0.00048828125,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=0.001953125,degree=1,SVM
0.814,kernel=poly,C=2048.0,gamma=0.001953125,degree=2,SVM
0.755,kernel=poly,C=2048.0,gamma=0.001953125,degree=3,SVM
0.676,kernel=poly,C=2048.0,gamma=0.001953125,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=0.0078125,degree=1,SVM
0.814,kernel=poly,C=2048.0,gamma=0.0078125,degree=2,SVM
0.755,kernel=poly,C=2048.0,gamma=0.0078125,degree=3,SVM
0.686,kernel=poly,C=2048.0,gamma=0.0078125,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=0.03125,degree=1,SVM
0.814,kernel=poly,C=2048.0,gamma=0.03125,degree=2,SVM
0.755,kernel=poly,C=2048.0,gamma=0.03125,degree=3,SVM
0.686,kernel=poly,C=2048.0,gamma=0.03125,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=0.125,degree=1,SVM
0.814,kernel=poly,C=2048.0,gamma=0.125,degree=2,SVM
0.755,kernel=poly,C=2048.0,gamma=0.125,degree=3,SVM
0.686,kernel=poly,C=2048.0,gamma=0.125,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=0.5,degree=1,SVM
0.814,kernel=poly,C=2048.0,gamma=0.5,degree=2,SVM
0.755,kernel=poly,C=2048.0,gamma=0.5,degree=3,SVM
0.686,kernel=poly,C=2048.0,gamma=0.5,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=2.0,degree=1,SVM
0.814,kernel=poly,C=2048.0,gamma=2.0,degree=2,SVM
0.755,kernel=poly,C=2048.0,gamma=2.0,degree=3,SVM
0.686,kernel=poly,C=2048.0,gamma=2.0,degree=4,SVM
0.859,kernel=poly,C=2048.0,gamma=8.0,degree=1,SVM
0.814,kernel=poly,C=2048.0,gamma=8.0,degree=2,SVM
0.755,kernel=poly,C=2048.0,gamma=8.0,degree=3,SVM
0.686,kernel=poly,C=2048.0,gamma=8.0,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=3.0517578125e-05,degree=1,SVM
0.772,kernel=poly,C=8192.0,gamma=3.0517578125e-05,degree=2,SVM
0.599,kernel=poly,C=8192.0,gamma=3.0517578125e-05,degree=3,SVM
0.528,kernel=poly,C=8192.0,gamma=3.0517578125e-05,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=0.0001220703125,degree=1,SVM
0.805,kernel=poly,C=8192.0,gamma=0.0001220703125,degree=2,SVM
0.671,kernel=poly,C=8192.0,gamma=0.0001220703125,degree=3,SVM
0.567,kernel=poly,C=8192.0,gamma=0.0001220703125,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=0.00048828125,degree=1,SVM
0.814,kernel=poly,C=8192.0,gamma=0.00048828125,degree=2,SVM
0.733,kernel=poly,C=8192.0,gamma=0.00048828125,degree=3,SVM
0.633,kernel=poly,C=8192.0,gamma=0.00048828125,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=0.001953125,degree=1,SVM
0.814,kernel=poly,C=8192.0,gamma=0.001953125,degree=2,SVM
0.755,kernel=poly,C=8192.0,gamma=0.001953125,degree=3,SVM
0.695,kernel=poly,C=8192.0,gamma=0.001953125,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=0.0078125,degree=1,SVM
0.814,kernel=poly,C=8192.0,gamma=0.0078125,degree=2,SVM
0.755,kernel=poly,C=8192.0,gamma=0.0078125,degree=3,SVM
0.686,kernel=poly,C=8192.0,gamma=0.0078125,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=0.03125,degree=1,SVM
0.814,kernel=poly,C=8192.0,gamma=0.03125,degree=2,SVM
0.755,kernel=poly,C=8192.0,gamma=0.03125,degree=3,SVM
0.686,kernel=poly,C=8192.0,gamma=0.03125,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=0.125,degree=1,SVM
0.814,kernel=poly,C=8192.0,gamma=0.125,degree=2,SVM
0.755,kernel=poly,C=8192.0,gamma=0.125,degree=3,SVM
0.686,kernel=poly,C=8192.0,gamma=0.125,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=0.5,degree=1,SVM
0.814,kernel=poly,C=8192.0,gamma=0.5,degree=2,SVM
0.755,kernel=poly,C=8192.0,gamma=0.5,degree=3,SVM
0.686,kernel=poly,C=8192.0,gamma=0.5,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=2.0,degree=1,SVM
0.814,kernel=poly,C=8192.0,gamma=2.0,degree=2,SVM
0.755,kernel=poly,C=8192.0,gamma=2.0,degree=3,SVM
0.686,kernel=poly,C=8192.0,gamma=2.0,degree=4,SVM
0.859,kernel=poly,C=8192.0,gamma=8.0,degree=1,SVM
0.814,kernel=poly,C=8192.0,gamma=8.0,degree=2,SVM
0.755,kernel=poly,C=8192.0,gamma=8.0,degree=3,SVM
0.686,kernel=poly,C=8192.0,gamma=8.0,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=3.0517578125e-05,degree=1,SVM
0.793,kernel=poly,C=32768.0,gamma=3.0517578125e-05,degree=2,SVM
0.629,kernel=poly,C=32768.0,gamma=3.0517578125e-05,degree=3,SVM
0.544,kernel=poly,C=32768.0,gamma=3.0517578125e-05,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=0.0001220703125,degree=1,SVM
0.813,kernel=poly,C=32768.0,gamma=0.0001220703125,degree=2,SVM
0.697,kernel=poly,C=32768.0,gamma=0.0001220703125,degree=3,SVM
0.587,kernel=poly,C=32768.0,gamma=0.0001220703125,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=0.00048828125,degree=1,SVM
0.814,kernel=poly,C=32768.0,gamma=0.00048828125,degree=2,SVM
0.747,kernel=poly,C=32768.0,gamma=0.00048828125,degree=3,SVM
0.647,kernel=poly,C=32768.0,gamma=0.00048828125,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=0.001953125,degree=1,SVM
0.814,kernel=poly,C=32768.0,gamma=0.001953125,degree=2,SVM
0.755,kernel=poly,C=32768.0,gamma=0.001953125,degree=3,SVM
0.687,kernel=poly,C=32768.0,gamma=0.001953125,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=0.0078125,degree=1,SVM
0.814,kernel=poly,C=32768.0,gamma=0.0078125,degree=2,SVM
0.755,kernel=poly,C=32768.0,gamma=0.0078125,degree=3,SVM
0.686,kernel=poly,C=32768.0,gamma=0.0078125,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=0.03125,degree=1,SVM
0.814,kernel=poly,C=32768.0,gamma=0.03125,degree=2,SVM
0.755,kernel=poly,C=32768.0,gamma=0.03125,degree=3,SVM
0.686,kernel=poly,C=32768.0,gamma=0.03125,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=0.125,degree=1,SVM
0.814,kernel=poly,C=32768.0,gamma=0.125,degree=2,SVM
0.755,kernel=poly,C=32768.0,gamma=0.125,degree=3,SVM
0.686,kernel=poly,C=32768.0,gamma=0.125,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=0.5,degree=1,SVM
0.814,kernel=poly,C=32768.0,gamma=0.5,degree=2,SVM
0.755,kernel=poly,C=32768.0,gamma=0.5,degree=3,SVM
0.686,kernel=poly,C=32768.0,gamma=0.5,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=2.0,degree=1,SVM
0.814,kernel=poly,C=32768.0,gamma=2.0,degree=2,SVM
0.755,kernel=poly,C=32768.0,gamma=2.0,degree=3,SVM
0.686,kernel=poly,C=32768.0,gamma=2.0,degree=4,SVM
0.859,kernel=poly,C=32768.0,gamma=8.0,degree=1,SVM
0.814,kernel=poly,C=32768.0,gamma=8.0,degree=2,SVM
0.755,kernel=poly,C=32768.0,gamma=8.0,degree=3,SVM
0.686,kernel=poly,C=32768.0,gamma=8.0,degree=4,SVM
